iyear,imonth,iday,region_txt,country_txt,latitude,longitude,nwound,nkill
2000,11,22,North America,Mexico,20.115301,-98.745887,0.0,1.0
2000,11,22,South America,Colombia,3.420636,-76.522251,0.0,0.0
2000,11,22,South America,Colombia,5.96347,-75.734024,0.0,17.0
2000,11,25,South America,Colombia,4.40464,-74.38643,0.0,0.0
2000,11,26,South America,Chile,-33.366238,-70.505302,0.0,0.0
2000,11,27,North America,United States,40.103955,-105.172429,0.0,0.0
2000,11,28,South America,Colombia,4.667128,-74.106056,0.0,0.0
2000,11,29,South America,Colombia,0.66643,-76.87192,0.0,1.0
2000,12,6,South America,Colombia,6.1429,-75.18417,15.0,29.0
2000,12,7,South America,Chile,-33.366238,-70.505302,0.0,0.0
2000,12,9,North America,United States,40.883456,-72.940741,0.0,0.0
2000,12,10,North America,United States,33.44826,-112.075774,0.0,0.0
2000,12,14,North America,United States,33.44826,-112.075774,0.0,0.0
2000,12,14,North America,United States,33.44826,-112.075774,0.0,0.0
2000,12,15,South America,Colombia,4.667128,-74.106056,3.0,2.0
2000,12,18,South America,Colombia,4.74386,-74.5337,1.0,1.0
2000,12,17,South America,Colombia,4.44251,-74.04416,0.0,11.0
2000,3,16,South America,Colombia,5.252803,-76.825965,0.0,0.0
2000,12,19,North America,United States,40.960042,-72.995514,0.0,0.0
2000,12,29,South America,Colombia,1.61456,-75.6053,0.0,7.0
2000,12,20,North America,United States,33.44826,-112.075774,0.0,0.0
2000,12,29,South America,Colombia,1.68448,-75.28659,0.0,7.0
2000,12,30,North America,United States,40.946995,-73.021319,0.0,0.0
2000,12,31,North America,United States,38.984895,-94.671684,0.0,0.0
2001,1,0,South America,Colombia,3.800889,-76.641271,0.0,3.0
2001,1,1,South America,Colombia,4.5981,-74.07603,0.0,0.0
2001,1,2,North America,United States,42.738006,-123.417103,0.0,0.0
2001,1,3,South America,Colombia,6.598449,-75.011559,0.0,11.0
2001,1,5,South America,Colombia,6.23384,-75.1617,0.0,12.0
2001,1,6,South America,Colombia,6.547306,-71.002231,0.0,0.0
2001,1,6,South America,Colombia,7.060051,-73.853115,10.0,1.0
2001,1,17,South America,Colombia,9.614635,-75.398636,0.0,28.0
2001,1,0,South America,Colombia,7.060051,-73.853115,0.0,8.0
2001,1,9,South America,Colombia,6.43711,-75.3313,0.0,1.0
2001,1,9,South America,Colombia,6.08314,-75.33544,0.0,5.0
2001,1,9,South America,Colombia,7.894195,-72.503885,0.0,4.0
2001,1,10,South America,Colombia,6.242026,-75.564766,51.0,1.0
2001,1,13,North America,United States,40.960042,-72.995514,0.0,0.0
2001,1,13,South America,Colombia,10.77259,-73.00454,0.0,4.0
2001,1,13,South America,Colombia,10.47692,-73.25049,2.0,3.0
2001,1,15,South America,Colombia,2.62241,-76.56961,1.0,10.0
2001,1,18,South America,Colombia,7.10577,-77.76488,0.0,1.0
2001,1,18,North America,United States,33.494,-111.920694,0.0,0.0
2001,1,19,South America,Colombia,5.872875,-75.567061,0.0,6.0
2001,1,20,South America,Argentina,-34.61768,-58.444435,1.0,0.0
2001,1,23,South America,Colombia,6.242026,-75.564766,0.0,1.0
2001,1,23,North America,United States,36.974796,-121.953457,0.0,0.0
2001,1,28,North America,United States,42.291957,-85.587437,0.0,0.0
2001,1,28,South America,Colombia,11.06561,-72.76391,5.0,10.0
2001,1,28,South America,Colombia,11.06561,-72.76391,5.0,10.0
2001,1,30,South America,Colombia,6.28281,-75.33184,0.0,0.0
2001,2,4,South America,Colombia,6.46052,-71.72989,0.0,0.0
2001,2,4,South America,Colombia,6.95284,-71.87514,2.0,1.0
2001,2,4,South America,Ecuador,-0.211188,-78.522629,0.0,0.0
2001,2,6,South America,Colombia,11.288242,-74.151651,0.0,0.0
2001,2,6,South America,Colombia,8.601686,-73.608184,0.0,0.0
2001,2,6,South America,Colombia,7.34824,-73.89707,0.0,9.0
2001,2,0,South America,Colombia,6.20781,-75.73436,0.0,5.0
2001,2,12,South America,Colombia,7.894195,-72.503885,3.0,1.0
2001,2,14,North America,Mexico,24.413892,-106.727641,3.0,12.0
2001,2,15,South America,Colombia,3.429344,-76.516037,2.0,0.0
2001,2,20,South America,Colombia,4.667128,-74.106056,20.0,0.0
2001,2,20,North America,United States,36.33377,-119.292914,0.0,0.0
2001,2,22,South America,Colombia,4.5981,-74.07603,0.0,0.0
2001,3,2,North America,United States,40.697132,-73.931351,0.0,0.0
2001,3,20,South America,Colombia,6.47005,-73.26162,0.0,1.0
2001,3,3,South America,Colombia,9.951201,-75.079457,2.0,3.0
2001,3,4,South America,Colombia,10.413711,-75.533549,0.0,0.0
2001,3,12,South America,Colombia,9.3625,-73.60158,0.0,2.0
2001,3,19,South America,Colombia,4.092517,-75.154538,0.0,0.0
2001,3,19,South America,Argentina,-34.61768,-58.444435,0.0,0.0
2001,3,22,South America,Colombia,9.30535,-75.3978,0.0,1.0
2001,3,24,South America,Colombia,1.4,-78.566667,0.0,0.0
2001,3,30,North America,United States,44.043266,-123.061512,0.0,0.0
2001,4,2,South America,Colombia,10.91685,-74.76634,0.0,1.0
2001,4,4,North America,United States,45.238255,-93.65305,0.0,0.0
2001,4,5,North America,United States,48.194295,-122.126414,0.0,0.0
2001,4,14,South America,Colombia,1.6975,-77.299444,0.0,25.0
2001,4,15,North America,United States,45.511795,-122.675629,0.0,0.0
2001,4,16,South America,Colombia,7.08582,-70.75779,0.0,0.0
2001,4,23,South America,Guyana,6.821806,-58.159218,0.0,0.0
2001,5,1,South America,Colombia,1.851988,-76.046976,1.0,1.0
2001,5,4,South America,Colombia,3.429344,-76.516037,25.0,4.0
2001,5,5,North America,United States,30.297774,-97.801914,0.0,0.0
2001,5,14,South America,Colombia,4.608699,-72.928854,0.0,0.0
2001,5,16,South America,Peru,-11.967368,-76.978462,6.0,0.0
2001,5,17,South America,Colombia,6.242026,-75.564766,137.0,8.0
2001,5,21,South America,Colombia,4.667128,-74.106056,0.0,0.0
2001,5,21,North America,United States,46.103654,-123.204304,0.0,0.0
2001,5,21,North America,United States,47.610786,-122.331306,0.0,0.0
2001,5,25,South America,Colombia,4.667128,-74.106056,20.0,4.0
2001,6,1,North America,United States,45.285772,-122.334678,0.0,0.0
2001,6,11,North America,United States,47.255135,-122.441654,0.0,0.0
2001,6,12,North America,United States,32.345634,-110.943212,0.0,0.0
2001,6,15,South America,Colombia,3.69748,-73.69899,16.0,0.0
2001,6,15,South America,Colombia,10.95667,-72.78887,0.0,0.0
2001,6,22,North America,Mexico,19.371887,-99.086624,0.0,0.0
2001,6,25,South America,Colombia,4.814278,-75.694558,0.0,0.0
2001,6,26,South America,Colombia,6.98336,-71.81668,0.0,0.0
2001,6,27,South America,Colombia,6.242026,-75.564766,0.0,0.0
2001,7,6,South America,Colombia,1.61456,-75.6053,0.0,1.0
2001,11,7,South America,Colombia,10.785085,-73.499038,0.0,0.0
2001,7,12,North America,United States,48.194295,-122.126414,0.0,0.0
2001,7,15,South America,Colombia,3.52721,-74.02371,0.0,0.0
2001,7,17,South America,Colombia,5.333333,-76.733333,0.0,1.0
2001,7,18,South America,Colombia,2.61091,-76.37917,0.0,0.0
2001,7,23,South America,Venezuela,7.929572,-72.246594,0.0,0.0
2001,7,24,North America,United States,38.962408,-119.939903,0.0,0.0
2001,7,25,South America,Venezuela,10.482834,-66.962128,1.0,0.0
2001,7,27,South America,Colombia,2.925561,-75.290777,0.0,0.0
2001,8,0,South America,Colombia,6.270526,-75.572173,0.0,0.0
2001,8,0,South America,Colombia,7.07786,-74.70355,0.0,0.0
2001,8,0,South America,Colombia,7.48008,-73.92076,0.0,0.0
2001,8,3,South America,Venezuela,10.482834,-66.962128,0.0,0.0
2001,8,5,South America,Ecuador,-0.211188,-78.522629,0.0,0.0
2001,8,5,South America,Ecuador,-2.170832,-79.922359,0.0,0.0
2001,8,5,South America,Ecuador,-2.90008,-79.005896,0.0,0.0
2001,8,5,South America,Ecuador,-1.056085,-80.455278,0.0,0.0
2001,8,5,South America,Colombia,7.060051,-73.853115,0.0,0.0
2001,8,5,South America,Colombia,7.060051,-73.853115,0.0,0.0
2001,8,5,South America,Colombia,7.060051,-73.853115,0.0,0.0
2001,8,5,South America,Colombia,1.66872,-77.01234,0.0,1.0
2001,8,6,South America,Colombia,7.060051,-73.853115,2.0,0.0
2001,8,6,South America,Colombia,8.79996,-74.61666,0.0,0.0
2001,8,6,South America,Colombia,8.809894,-74.616688,0.0,0.0
2001,8,6,South America,Colombia,8.8833,-74.7,0.0,0.0
2001,8,7,South America,Colombia,5.657909,-75.837417,0.0,0.0
2001,8,7,South America,Colombia,6.96316,-75.41732,0.0,0.0
2001,8,8,North America,Mexico,19.371887,-99.086624,1.0,0.0
2001,8,8,South America,Colombia,5.96478,-75.10166,35.0,3.0
2001,8,8,North America,Mexico,19.371887,-99.086624,1.0,0.0
2001,8,8,North America,United States,18.14859,-65.442114,0.0,0.0
2001,8,8,South America,Peru,-11.428458,-74.488335,3.0,16.0
2001,8,9,South America,Colombia,7.888219,-72.797697,4.0,2.0
2001,8,10,South America,Venezuela,10.6,-67.033333,0.0,0.0
2001,8,10,South America,Colombia,9.19974,-73.5433,0.0,0.0
2001,8,10,South America,Colombia,9.98161,-75.30104,0.0,0.0
2001,8,10,South America,Colombia,7.946283,-72.898807,0.0,0.0
2001,8,10,South America,Colombia,2.524168,-75.316146,0.0,3.0
